vertical,city,name,phone,whatsapp,address,maps_link,source
perruqueries,Barcelona,BLUE hairdressing,+34 934 58 95 03,+34 620 035 744,"C/ Mallorca 282, Barcelona",https://g.page/r/CSW2YrjzH3klEBM/,https://bluehairdressingbcn.com/ca/
perruqueries,Barcelona,Vanitas Espai,+34 933 682 555,+34 675 692 670,"C/ París 204, 08008 Barcelona",https://www.google.com/maps/search/?api=1&query=Vanitas%20Espai%20Par%C3%ADs%20204%20Barcelona,https://vanitasespai.es/
perruqueries,Barcelona,Aude Perruqueria,,,"Av. Diagonal 319 BIS, Barcelona",https://www.google.com/maps/search/?api=1&query=Aude%20Perruqueria%20Av.%20Diagonal%20319%20BIS%20Barcelona,https://audeperruqueria.com/
perruqueries,Barcelona,La Perruqueria,+34 934 08 60 45,,"C/ Sant Antoni Maria Claret 440, 08027 Barcelona",https://www.google.com/maps/search/?api=1&query=La%20Perruqueria%20Sant%20Antoni%20Maria%20Claret%20440%20Barcelona,https://www.bewellty.es/la-perruqueria-15773-dirempresa.php
perruqueries,Barcelona,Les Tisores de Sants,933396936,,"C/ Blanco 29, 08028 Barcelona",https://www.google.com/maps/search/?api=1&query=Les%20Tisores%20de%20Sants%20Blanco%2029%20Barcelona,https://www.carrerdesants.cat/cat/soci/les-tisores-de-sants
perruqueries,Barcelona,Marina Baone Barcelona,938099109,,"C/ Roger 18, 08028 Barcelona",https://www.google.com/maps/search/?api=1&query=Marina%20Baone%20Barcelona%20Roger%2018%20Barcelona,https://www.carrerdesants.cat/cat/soci/marina-baone-barcelona
perruqueries,Barcelona,NB Perruqueria Núria Baquero,934215916,,"C/ Olzinelles 10 baixos, 08014 Barcelona",https://www.google.com/maps/search/?api=1&query=NB%20Perruqueria%20N%C3%BAria%20Baquero%20Olzinelles%2010%20Barcelona,https://www.carrerdesants.cat/cat/soci/nb-perruqueria-nuria-baquero
perruqueries,Barcelona,Perruqueria Pepi,933321080,,"C/ Jocs Florals 126 baixos, 08014 Barcelona",https://www.google.com/maps/search/?api=1&query=Perruqueria%20Pepi%20Jocs%20Florals%20126%20Barcelona,https://www.carrerdesants.cat/cat/socis/equipament-i-serveis-personals/perruqueria
perruqueries,Barcelona,Salón Cuca Lelè,931469400,,"C/ Olzinelles 111, 08014 Barcelona",https://www.google.com/maps/search/?api=1&query=Sal%C3%B3n%20Cuca%20Lel%C3%A8%20Olzinelles%20111%20Barcelona,https://www.carrerdesants.cat/cat/soci/salon-cuca-lele
perruqueries,Barcelona,TONI&GUY Barcelona,+34 936 03 15 80,+34 613 39 12 87,"C/ París 205, 08008 Barcelona",https://www.google.com/maps/search/?api=1&query=TONI%26GUY%20Barcelona%20Par%C3%ADs%20205%20Barcelona,https://toniandguy.es/salones/salon-peluqueria-barcelona/
